,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,torque
123,2018,3400000,22000,Diesel,0,0,First Owner,18.0,1969,190.0,5,400.0
124,2015,2650000,53000,Diesel,0,0,First Owner,12.07,2967,241.4,7,550.0
125,2015,535000,40000,Diesel,0,1,First Owner,26.21,1248,88.5,5,200.0
126,2017,5850000,47000,Diesel,0,0,First Owner,13.5,2987,282.0,5,490.0
127,2010,975000,72200,Petrol,0,0,Second Owner,10.8,2497,150.0,5,250.0
128,2017,2625000,9000,Diesel,0,0,First Owner,13.6,1999,177.0,5,430.0
129,2018,811000,11000,Petrol,0,1,First Owner,17.0,1198,108.5,5,170.0
130,2011,375000,49000,Petrol,1,1,First Owner,15.04,1598,103.6,5,153.0
131,2012,550000,95000,Petrol,1,1,First Owner,16.3,1797,147.5,5,178.0
132,2016,645000,11000,Petrol,0,0,First Owner,14.3,1598,103.5,5,153.0
133,2018,2550000,18000,Petrol,0,0,First Owner,15.04,1991,183.0,5,300.0
134,2017,2700000,16000,Petrol,0,0,First Owner,14.74,1991,181.04,5,300.0
135,2017,875000,18000,Petrol,0,0,First Owner,15.6,1497,116.3,5,146.0
136,2019,894999,9654,Petrol,0,0,First Owner,19.56,1197,81.8,5,113.0
137,2011,175000,11000,Petrol,0,1,First Owner,23.95,998,67.05,5,90.0
138,2012,340000,24300,Petrol,0,1,First Owner,21.21,1197,81.8,5,113.0
139,2018,1025000,8000,Diesel,0,0,First Owner,21.5,1497,108.5,5,260.0
140,2016,2150000,30000,Diesel,0,0,First Owner,22.69,1995,190.0,5,400.0
141,2016,1900000,41000,Petrol,0,0,First Owner,19.16,2494,157.7,5,213.0
142,2016,2900000,12000,Diesel,0,0,First Owner,18.12,1995,190.0,5,400.0
143,2009,450000,71000,Petrol,0,0,First Owner,12.1,2362,164.7,5,224.0
144,2016,850000,20000,Petrol,1,1,First Owner,17.5,1373,91.1,7,130.0
145,2018,575000,9500,Petrol,1,1,First Owner,18.16,1196,86.8,5,112.0
146,2011,160000,120000,Diesel,1,1,First Owner,20.0,1399,68.0,5,160.0
147,2015,515000,36600,Petrol,1,1,First Owner,20.4,1197,81.8,5,113.0
148,2015,390000,50000,Petrol,1,0,Second Owner,20.51,998,67.0,5,90.0
149,2016,550000,14000,Petrol,1,1,Second Owner,18.6,1197,81.83,5,115.0
150,1999,40000,40000,Petrol,1,1,Second Owner,16.1,796,37.0,4,59.0
151,2010,220000,120000,Diesel,1,1,First Owner,21.1,1248,73.9,5,113.0
152,2015,425000,70000,Petrol,1,1,First Owner,18.9,1197,82.0,5,114.0
153,2019,480000,13000,Petrol,1,1,First Owner,19.44,999,75.0,5,95.0
154,2014,487000,35000,Petrol,1,1,First Owner,19.1,1197,85.8,5,114.0
155,2016,386000,44000,Petrol,1,1,Second Owner,19.1,1197,82.0,5,114.0
156,2005,100000,120000,Petrol,1,1,Second Owner,13.0,1493,100.0,5,129.0
157,2010,300000,60000,Diesel,1,1,First Owner,21.43,1364,87.2,5,205.0
158,2000,100000,60000,Petrol,1,1,First Owner,18.5,796,53.0,5,71.0
159,2014,1750000,30000,Diesel,1,1,Second Owner,13.0,2982,168.5,7,343.0
160,2016,450000,15000,Petrol,1,1,Second Owner,18.15,1198,82.0,6,115.0
161,2017,490000,90000,Diesel,1,1,First Owner,22.95,1248,74.0,5,190.0
162,2009,345000,47000,Petrol,1,1,Second Owner,17.0,1497,118.0,5,146.0
163,2005,85000,90000,Petrol,1,1,First Owner,17.3,993,60.0,5,78.0
164,2005,65000,86000,Petrol,1,1,First Owner,15.3,1341,83.0,5,115.0
165,2017,800000,37000,Diesel,1,1,First Owner,28.09,1248,88.5,5,200.0
166,2019,520000,14000,Petrol,1,1,First Owner,20.3,1199,84.0,5,114.0
167,2015,580000,70000,Diesel,1,1,First Owner,20.77,1248,88.76,7,200.0
168,2015,600000,50000,Petrol,1,1,First Owner,17.4,1497,117.3,5,145.0
169,2016,360000,50000,CNG,1,1,First Owner,44.42,998,58.16,5,77.0
170,2017,550000,50000,Petrol,1,1,First Owner,20.85,1197,83.14,5,115.0
171,2018,420000,35000,Petrol,1,0,First Owner,20.51,998,67.0,5,90.0
172,2017,550000,20000,Petrol,1,1,First Owner,21.21,1197,81.8,5,113.0
173,2018,700000,7800,Petrol,1,0,First Owner,22.0,1197,81.8,5,113.0
174,2017,500000,20000,Petrol,1,1,First Owner,20.4,1197,81.8,5,113.0
175,2019,1250000,15000,Diesel,1,1,First Owner,17.6,2179,147.94,7,320.0
176,2013,320000,31377,Petrol,1,1,Second Owner,18.5,1197,82.85,5,114.0
177,2018,700000,50000,Diesel,1,1,First Owner,28.4,1248,74.02,5,190.0
178,2015,290000,60000,Petrol,1,1,First Owner,20.51,998,67.04,5,90.0
179,2012,550000,100000,Petrol,1,0,First Owner,14.53,1794,138.1,5,173.0
180,2018,830000,5000,Petrol,1,0,First Owner,21.4,1197,83.1,5,115.0
181,2017,800000,60000,Diesel,1,1,First Owner,14.1,2179,147.94,7,320.0
182,2017,329000,80000,Petrol,1,1,Second Owner,20.63,1198,67.0,5,104.0
183,2017,775000,75000,Diesel,1,1,First Owner,24.3,1248,88.5,5,200.0
184,2020,524000,32000,Petrol,1,1,First Owner,20.14,1197,81.86,5,114.0
185,2015,245000,40000,Petrol,1,1,First Owner,22.74,796,47.3,5,69.0
186,2012,275000,93000,Petrol,1,1,Second Owner,17.0,1197,80.0,5,112.0
187,2018,520000,60000,Petrol,1,1,First Owner,17.57,1193,88.7,5,140.0
188,2014,550000,37000,Petrol,1,1,First Owner,16.95,1498,97.7,5,134.0
189,2018,910000,15000,Petrol,1,1,First Owner,17.0,1497,121.36,5,150.0
190,2016,350000,140000,Petrol,1,1,First Owner,20.51,998,67.04,5,90.0
191,2013,900000,70000,Diesel,1,1,First Owner,12.83,2696,162.0,7,340.0
192,2013,300000,120000,Diesel,1,1,Second Owner,17.21,1493,100.0,7,240.0
193,2010,250000,110000,Diesel,1,1,Second Owner,21.1,1248,73.9,5,190.0
194,2017,1100000,37000,Diesel,1,1,First Owner,19.67,1582,126.2,5,260.0
195,2016,270000,44000,Petrol,1,1,First Owner,25.17,799,53.3,5,72.0
196,2015,640000,80000,Diesel,1,1,First Owner,20.77,1248,88.76,7,200.0
197,2015,650000,125000,Diesel,1,1,First Owner,15.1,2179,140.0,7,330.0
198,2017,409999,13500,Petrol,1,1,First Owner,15.37,1196,73.0,5,101.0
199,2011,165000,75000,Petrol,1,1,First Owner,17.92,1086,62.1,5,97.0
200,2007,80000,120000,Petrol,1,1,Second Owner,13.2,1495,94.0,5,123.0
201,2012,535000,120000,Diesel,1,1,First Owner,15.1,2179,140.0,7,330.0
202,2013,700000,70000,Diesel,1,1,First Owner,12.99,2494,100.57,7,200.0
203,2013,550000,70000,Diesel,1,1,First Owner,23.4,1248,74.0,5,190.0
204,2019,680000,15000,Petrol,1,0,First Owner,19.0,1199,88.76,5,110.0
205,2009,200000,53000,Petrol,1,1,Second Owner,20.36,1197,78.9,5,112.0
206,2014,500000,120000,Diesel,1,1,Second Owner,23.4,1248,74.0,5,190.0
207,2016,1000000,70000,Diesel,1,1,First Owner,24.52,1248,88.5,7,200.0
208,2008,110000,120000,Petrol,1,1,Second Owner,14.2,1341,82.9,5,116.0
209,2012,320000,100000,Petrol,1,1,Second Owner,18.5,1197,80.0,5,112.0
210,2015,350000,100000,Petrol,1,1,First Owner,20.4,1197,83.11,5,113.0
211,2013,170000,162500,Diesel,1,1,First Owner,19.4,1405,70.0,5,136.0
212,2017,800000,39000,Diesel,1,1,First Owner,22.54,1396,88.73,5,220.0
213,2017,500000,75000,Diesel,1,1,First Owner,26.8,1248,74.0,5,190.0
214,2017,1380000,50000,Diesel,1,0,First Owner,17.6,2179,153.86,7,400.0
215,2019,1300000,40000,Diesel,1,1,First Owner,17.3,1497,121.0,8,300.0
216,2013,530000,92500,Diesel,1,1,First Owner,22.32,1582,126.3,5,260.0
217,2012,360000,158000,Diesel,1,1,First Owner,23.4,1248,74.0,5,190.0
218,2012,310000,120000,Diesel,1,1,First Owner,19.3,1248,73.9,5,190.0
219,2015,725000,50000,Diesel,1,1,Second Owner,26.0,1498,98.6,5,200.0
220,2012,340000,110000,Diesel,1,1,First Owner,19.3,1248,73.9,5,190.0
221,2017,550000,2000,Diesel,1,1,Second Owner,25.4,1186,73.97,5,191.0
222,2016,380000,70000,Diesel,1,1,First Owner,27.28,1047,69.0,5,140.0
223,2013,350000,90000,Petrol,1,0,Second Owner,17.97,1498,99.6,5,134.0
224,2019,610000,2000,Petrol,1,1,First Owner,18.6,1197,81.86,5,117.0
225,2015,525000,20000,Petrol,1,1,First Owner,20.85,1197,83.14,5,115.0
226,2011,480000,120000,Diesel,1,1,First Owner,12.8,2494,102.0,7,201.0
227,2017,780000,35000,Diesel,1,1,First Owner,16.55,2498,105.0,6,247.0
228,2012,320000,193000,Diesel,1,1,First Owner,19.3,1248,73.9,5,190.0
229,2014,375000,80000,Petrol,1,1,First Owner,20.4,1197,81.8,5,113.0
230,2019,300000,40000,Petrol,1,1,First Owner,19.02,1198,67.05,5,104.0
231,2015,500000,70000,Diesel,1,1,Fourth & Above Owner,22.54,1396,88.73,5,220.0
232,2011,404000,122358,Diesel,1,1,First Owner,12.05,2179,120.0,9,290.0
233,2017,350000,120000,Diesel,1,1,First Owner,27.28,1047,69.0,5,140.0
234,2015,380000,40000,Petrol,1,1,First Owner,17.57,1193,88.7,5,140.0
235,2014,335000,33033,Petrol,0,1,First Owner,19.4,1198,86.8,5,109.0
236,2015,465000,63063,Petrol,0,0,First Owner,18.9,1197,82.0,5,114.0
237,2012,290000,60000,Diesel,1,1,First Owner,21.02,1248,88.76,5,200.0
238,2005,110000,45000,Petrol,1,1,Second Owner,19.7,796,46.3,5,62.0
239,2007,210000,207890,Diesel,1,1,Second Owner,13.6,2523,63.0,7,180.0
240,2018,4600000,7976,Diesel,1,0,First Owner,17.9,2143,170.0,5,400.0
241,2016,220000,35000,Petrol,1,1,First Owner,16.8,796,34.2,8,59.0
242,2017,450000,35000,Petrol,1,1,First Owner,18.9,1197,82.0,5,114.0
243,2013,290000,50000,Petrol,1,0,First Owner,16.95,1197,78.9,5,112.0
244,2011,265000,20000,Petrol,1,0,First Owner,16.95,1197,78.9,5,112.0
245,2012,330000,50000,Petrol,1,1,Second Owner,18.6,1197,85.8,5,114.0
246,2014,509999,120000,Diesel,1,1,First Owner,15.96,2523,62.1,7,195.0
247,2014,500000,70000,Petrol,1,1,First Owner,17.1,1591,121.3,5,155.0
248,2015,525000,50000,Petrol,1,1,First Owner,17.19,1197,81.86,5,115.0
249,2019,675000,16500,Petrol,1,1,First Owner,21.01,1197,81.8,5,113.0
250,2010,300000,70000,Petrol,1,1,First Owner,17.0,1197,80.0,5,112.0
251,2005,90000,99361,Petrol,1,1,Second Owner,19.7,796,46.3,5,62.0
252,2014,409000,70000,Petrol,1,1,Second Owner,19.1,1197,85.8,5,114.0
253,2015,395000,80000,Diesel,1,1,Second Owner,24.0,1120,70.0,5,160.0
254,2014,400000,70000,Petrol,1,1,Second Owner,19.1,1197,85.8,5,114.0
255,2012,120000,60000,Petrol,1,1,Third Owner,18.6,1199,79.4,5,108.0
256,2018,645000,10000,Petrol,1,0,First Owner,20.3,1199,84.0,5,114.0
257,2006,81000,80000,Petrol,1,1,First Owner,16.1,796,37.0,4,59.0
258,2017,1300000,30000,Diesel,1,1,First Owner,25.6,1498,97.9,5,200.0
259,2017,1250000,33000,Diesel,1,1,First Owner,25.6,1498,97.9,5,200.0
260,2013,535000,90000,Petrol,1,1,Third Owner,16.02,1373,93.7,7,130.0
261,2014,555000,80100,Diesel,1,1,Second Owner,19.01,1461,108.5,5,248.0
262,2014,725000,120000,Petrol,1,1,First Owner,17.4,1497,117.3,5,145.0
263,2016,229999,40000,Petrol,1,1,First Owner,25.17,799,53.3,5,72.0
264,2013,800000,160000,Diesel,1,1,Second Owner,12.99,2494,100.6,8,200.0
265,2017,409999,47000,Petrol,1,1,First Owner,20.51,998,67.04,5,90.0
266,2018,1210000,25000,Diesel,1,1,First Owner,21.38,1396,88.7,5,220.0
267,2017,400000,26000,Petrol,1,1,First Owner,23.84,1199,84.0,5,114.0
268,2018,520000,29000,Diesel,1,1,First Owner,24.0,1186,73.97,5,191.0
269,2016,650000,50000,Petrol,1,0,First Owner,21.4,1197,83.1,5,115.0
270,2011,325000,58000,Petrol,1,1,Third Owner,16.1,1298,88.2,5,113.0
271,2012,420000,120000,Petrol,1,0,First Owner,17.4,1197,85.8,5,114.0
272,2003,65000,60000,Petrol,1,1,Fourth & Above Owner,17.3,993,60.0,5,78.0
273,2017,351000,36000,Petrol,1,1,First Owner,23.1,998,67.04,5,90.0
274,2007,404000,120000,Diesel,1,1,Third Owner,12.8,2494,102.0,8,201.0
275,2011,185000,185000,Diesel,1,1,Third Owner,21.1,1248,73.9,5,190.0
276,2011,250000,50000,Diesel,1,1,First Owner,23.08,1461,63.1,5,160.0
277,2002,60000,100000,Petrol,1,1,Fourth & Above Owner,17.3,993,60.0,5,78.0
278,2013,500000,50000,Petrol,1,1,Second Owner,17.1,1591,121.3,5,155.0
279,2007,85000,80000,Petrol,1,1,Second Owner,18.2,998,67.1,5,90.0
280,2005,85000,80000,Petrol,1,1,Fourth & Above Owner,19.7,796,46.3,5,62.0
281,2010,130000,162000,Petrol,1,1,Second Owner,19.0,998,66.1,5,90.0
282,2013,480000,110000,Diesel,1,1,Third Owner,20.77,1248,88.76,7,200.0
283,2008,170000,120000,Diesel,1,1,Third Owner,17.8,1248,75.0,5,190.0
284,2011,275000,45000,Diesel,1,1,First Owner,23.08,1461,63.1,5,160.0
285,2005,89000,90000,Petrol,1,1,Second Owner,18.9,998,67.1,5,90.0
286,2010,170000,90000,Diesel,1,1,Second Owner,20.0,1399,68.0,5,160.0
287,2017,1100000,67000,Diesel,1,0,First Owner,17.01,1582,126.2,5,260.0
288,2018,610000,52000,Petrol,0,1,First Owner,22.0,1197,81.8,5,113.0
289,2016,335000,40000,Petrol,0,1,First Owner,20.63,1198,67.0,5,104.0
290,2018,3000000,35000,Diesel,1,1,First Owner,14.24,2755,174.5,7,420.0
291,2018,390000,13000,Petrol,0,1,First Owner,20.71,799,53.26,5,72.0
292,2012,325000,40000,Petrol,0,1,First Owner,18.5,1198,86.8,5,109.0
293,2019,640000,10000,Petrol,0,1,First Owner,17.0,1198,73.75,5,110.0
294,2012,450000,9000,Petrol,0,1,First Owner,16.95,1498,97.7,5,134.0
295,2013,400000,70000,Diesel,0,1,Second Owner,23.59,1364,67.06,5,170.0
296,2009,215000,60000,Petrol,0,1,First Owner,20.36,1197,78.9,5,112.0
297,2014,570000,40000,Diesel,0,1,First Owner,20.45,1461,83.8,5,200.0
298,2012,680000,93000,Diesel,0,1,First Owner,15.1,2179,140.0,7,330.0
299,2008,325000,80000,Diesel,1,1,Fourth & Above Owner,12.8,2494,102.0,7,201.0
300,2011,150000,50000,Petrol,1,1,Second Owner,15.64,1193,64.08,5,100.0
301,2013,690000,68000,Petrol,0,0,First Owner,14.5,1797,147.5,5,178.0
302,2012,64000,18000,Petrol,0,1,First Owner,25.4,624,37.5,4,51.0
303,2013,250000,120000,Diesel,1,1,First Owner,23.08,1461,63.1,5,160.0
304,2005,65000,35000,Petrol,1,1,First Owner,18.9,998,67.1,5,90.0
305,2016,550000,60000,Diesel,1,1,Second Owner,26.59,1248,74.0,5,190.0
306,2016,300000,30000,Petrol,1,1,First Owner,25.17,799,53.3,5,72.0
307,2016,800000,70000,Petrol,1,0,First Owner,16.34,1798,189.3,5,250.0
308,2015,503000,110000,Diesel,1,1,First Owner,14.1,2179,147.94,7,320.0
309,2013,225000,58343,Petrol,0,1,First Owner,21.79,998,67.05,5,90.0
310,2018,740000,38817,Diesel,0,1,First Owner,27.39,1248,74.0,5,190.0
311,2016,550000,56494,Petrol,0,1,First Owner,18.2,1199,88.7,5,110.0
312,2013,750000,79328,Diesel,0,1,Second Owner,12.99,2494,100.6,7,200.0
313,2019,650000,5621,Petrol,0,0,First Owner,22.0,1197,81.8,5,113.0
314,2017,625000,25538,Petrol,0,1,First Owner,16.78,1496,88.73,5,132.0
315,2018,600000,69779,Petrol,0,0,First Owner,22.0,1197,81.8,5,113.0
316,2017,450000,56290,Diesel,0,1,First Owner,24.0,1186,73.97,5,191.0
317,2019,5500000,8500,Diesel,0,0,First Owner,16.78,1995,190.0,5,400.0
318,2019,779000,7032,Petrol,0,0,First Owner,19.0,1199,88.76,5,110.0
319,2018,2475000,2000,Diesel,0,0,First Owner,16.8,1984,150.0,5,350.0
320,2009,500000,120000,Petrol,1,0,Second Owner,11.1,2354,158.8,5,218.0
321,2015,480000,90000,Diesel,1,1,First Owner,26.59,1248,74.0,5,190.0
322,2014,535000,70000,Diesel,1,1,Third Owner,22.32,1582,126.32,5,260.0
323,2005,250000,240000,Diesel,1,1,Third Owner,12.8,2494,102.0,8,201.0
324,2012,300000,100000,Diesel,1,1,Second Owner,21.5,1248,88.8,5,200.0
325,2009,340000,214000,Diesel,1,1,Second Owner,16.8,1493,110.0,5,236.0
326,2016,240000,50000,Petrol,1,1,First Owner,22.74,796,47.3,5,69.0
327,2018,1085000,1000,Petrol,1,0,First Owner,18.0,1497,117.6,5,145.0
